DBuid	StrainName	Date added	DNA	DNAextractNo	Species	Strain Background	Modifications	Source	Other notes (all are in ca. 15% glycerol)
A23	negative	18.06.2006	none		none	none	none	Douda Bensasson	H20 dipped restreaking negative control
A24	BY4741-LTR-1	04.07.2006	AA01		S. cerevisiae S288C derived	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX right of CEN3	Douda Bensasson	YPD+300ug G418. Grown 28/06/2006. confirmed by 3 PCRs
A25	BY4741-LTR-1	04.07.2006	AA01		S. cerevisiae S288C derived	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX right of CEN3	Douda Bensasson	YPD+300ug G418. Grown 28/06/2006. confirmed by 3 PCRs
A26	BY4741-LTR-2	04.07.2006	AA02		S. cerevisiae S288C derived	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX right of CEN3	Douda Bensasson	YPD+300ug G418. Grown 28/06/2006. confirmed by 3 PCRs
A27	BY4741-LTR-2	04.07.2006	AA02		S. cerevisiae S288C derived	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX right of CEN3	Douda Bensasson	YPD+300ug G418. Grown 28/06/2006. confirmed by 3 PCRs
A28	BY4741-LoC-1	04.07.2006	AA05		S. cerevisiae S288C derived	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX left of CEN3	Douda Bensasson	YPD+300ug G418. Grown 28/06/2006. confirmed by 3 PCRs
A29	BY4741-LoC-1	04.07.2006	AA05		S. cerevisiae S288C derived	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX left of CEN3	Douda Bensasson	YPD+300ug G418. Grown 28/06/2006. confirmed by 3 PCRs
A30	BY4741-LoC-2	04.07.2006	AA06		S. cerevisiae S288C derived	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX left of CEN3	Douda Bensasson	YPD+300ug G418. Grown 28/06/2006. confirmed by 3 PCRs
A31	BY4741-LoC-2	04.07.2006	AA06		S. cerevisiae S288C derived	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX left of CEN3	Douda Bensasson	YPD+300ug G418. Grown 28/06/2006. confirmed by 3 PCRs
A32	BY4741-LoC-3	04.07.2006	AA07		S. cerevisiae S288C derived	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX left of CEN3	Douda Bensasson	YPD+300ug G418. Grown 28/06/2006. confirmed by 3 PCRs
A33	BY4741-LoC-3	04.07.2006	AA07		S. cerevisiae S288C derived	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX left of CEN3	Douda Bensasson	YPD+300ug G418. Grown 28/06/2006. confirmed by 3 PCRs
A34	BY4741-LTR-ve	04.07.2006	AA04		none	none	none	Douda Bensasson	YPD+300ug G418. Grown 28/06/2006. confirmed by 3 PCRs
A35	BY4741-LTR-ve	04.07.2006	AA04		none	none	none	Douda Bensasson	YPD+300ug G418. Grown 28/06/2006. confirmed by 3 PCRs
A36	BY4741-LTR-3	13.07.2006	AA03		S. cerevisiae S288C derived	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX right of CEN3	Douda Bensasson	YPD+300ug G418. Grown 28/06/2006. confirmed by 3 PCRs
A37	BY4741-LTR-3	13.07.2006	AA03		S. cerevisiae S288C derived	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX right of CEN3	Douda Bensasson	YPD+300ug G418. Grown 28/06/2006. confirmed by 3 PCRs
A38	CBS8841-LTR	13.07.2006	AA08		S. cariocanus type Brazil	wild	KanMX right of CEN3, replacing LTR	Douda Bensasson	YPD. Grown 12/07/2006. confirmed by 3 PCRs
A39	CBS8841-LTR	13.07.2006	AA08		S. cariocanus type Brazil	wild	KanMX right of CEN3, replacing LTR	Douda Bensasson	YPD. Grown 12/07/2006. confirmed by 3 PCRs
A40	CBS8841-LTR	13.07.2006	AA09,AA10		S. cariocanus type Brazil	wild	KanMX right of CEN3, replacing LTR	Douda Bensasson	YPD+300ug G418. Grown 12/07/2006. confirmed by 3 PCRs
A41	CBS8841-LTR	13.07.2006	AA09,AA10		S. cariocanus type Brazil	wild	KanMX right of CEN3, replacing LTR	Douda Bensasson	YPD+300ug G418. Grown 12/07/2006. confirmed by 3 PCRs
A42	CBS8841-LTR-ve	13.07.2006	AB01		none	none	none	Douda Bensasson	YPD. Grown 12/07/2006. confirmed by 3 PCRs
A43	CBS8841-LTR-ve	13.07.2006	AB01		none	none	none	Douda Bensasson	YPD. Grown 12/07/2006. confirmed by 3 PCRs
A44	NCYC2888	02.08.2006	AB03		S. mikatae type IFO 1815	wild	none	NCYC	Big budding cells. YPD innoculated with label.
A45	NCYC2888	02.08.2006	AB03		S. mikatae type IFO 1815	wild	none	NCYC	Big budding cells. YPD innoculated with label.
A46	NCYC2888	02.08.2006	AB03		S. mikatae type IFO 1815	wild	none	NCYC	Big budding cells. YPD innoculated with label.
A47	negative	02.08.2006	AB05		none	none	none	Douda Bensasson	YPD
A48	NCYC2888	02.08.2006	AB03		S. mikatae type IFO 1815	wild	none	NCYC	Big budding cells + some very big cells. YPD innoculated with label.
A49	A2EC1.1	09.08.2006	AB06		S. cerevisiae BY4741	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	haploid, in YPD+300ug/ml G418, verified in 3 PCRs and RE digest
A50	A2EC1.2	09.08.2006	AB07		S. cerevisiae BY4741	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	haploid, in YPD+300ug/ml G418, verified in 3 PCRs and RE digest
A51	E2EC1.1	09.08.2006	AB08		S. cerevisiae BY4741	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX right of CEN3	Douda Bensasson	haploid, in YPD+300ug/ml G418, verified in 3 PCRs and RE digest
A52	E2EC1.2	09.08.2006	AB09		S. cerevisiae BY4741	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX right of CEN3	Douda Bensasson	haploid, in YPD+300ug/ml G418, verified in 3 PCRs and RE digest
A53	E2EC1.3	09.08.2006	AB10		S. cerevisiae BY4741	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX right of CEN3	Douda Bensasson	haploid, in YPD+300ug/ml G418, verified in 3 PCRs and RE digest
A54	A2EC2.1	09.08.2006	AC01		S. cerevisiae BY4741	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	haploid, in YPD+300ug/ml G418, verified in 3 PCRs and RE digest
A55	E2EC2.1	09.08.2006	AC02		S. cerevisiae BY4741	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX right of CEN3	Douda Bensasson	haploid, in YPD+300ug/ml G418, verified in 3 PCRs and RE digest
A56	E2EC2.2	09.08.2006	AC03		S. cerevisiae BY4741	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX right of CEN3	Douda Bensasson	haploid, in YPD+300ug/ml G418, verified in 3 PCRs and RE digest
A57	E2EC2.3	09.08.2006	AC04		S. cerevisiae BY4741	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	KanMX right of CEN3	Douda Bensasson	haploid, in YPD+300ug/ml G418, verified in 3 PCRs and RE digest
A58	negative	09.08.2006	AC05		none	none	none	Douda Bensasson	YPD+300ug/ml G418
A59	NCYC2970	09.08.2006	AB04		S. mikatae type IFO 1816	wild	none	NCYC	YPD
A60	NCYC2970	09.08.2006	AB04		S. mikatae type IFO 1816	wild	none	NCYC	YPD
A61	A2EC1.3	10.08.2006	none		S. cerevisiae BY4741	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	haploid, in YPD+300ug/ml G418
A62	A2EC1.3	10.08.2006	none		S. cerevisiae BY4741	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	haploid, in YPD+300ug/ml G418
A63	A2EC2.2	10.08.2006	none		S. cerevisiae BY4741	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	haploid, in YPD+300ug/ml G418
A64	A2EC2.2	10.08.2006	none		S. cerevisiae BY4741	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	haploid, in YPD+300ug/ml G418
A65	A2EC2.3	10.08.2006	none		S. cerevisiae BY4741	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	haploid, in YPD+300ug/ml G418
A66	A2EC2.3	10.08.2006	none		S. cerevisiae BY4741	MATa his3[delta]1 leu2[delta]0 met15[delta]0 ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	haploid, in YPD+300ug/ml G418
A67	negative	10.08.2006	none		none	none	none	Douda Bensasson	YPD+300ug/ml G418
A68	negative	10.08.2006	none		none	none	none	Douda Bensasson	YPD+300ug/ml G418
A69	BY4742	14.08.2006	none		S. cerevisiae S288C derived	MATalpha; his3[delta]1; leu2[delta]0; lys2[delta]0; ura3[delta]0	none	Delneri collection -80	haploid, deletion project parental strain
A70	BY4742	14.08.2006	none		S. cerevisiae S288C derived	MATalpha; his3[delta]1; leu2[delta]0; lys2[delta]0; ura3[delta]0	none	Delneri collection -80	haploid, deletion project parental strain
A71	BY4743	14.08.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	none	Richard Harrison	diploid, deletion project parental strain
A72	BY4743	14.08.2006	none		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	none	Richard Harrison	diploid, deletion project parental strain
A73	negative	14.08.2006	none		none	none	none	Douda Bensasson	YPD
A74	SNM2	16.08.2006	none		unknown, S. bayanus or S. cerevisiae under microscope	wild	none	Sonya Hartmuth	Normal looking colony from elderflower wine
A75	SNM3	16.08.2006	none		unknown, S. bayanus or S. cerevisiae under microscope	wild	none	Sonya Hartmuth	Normal looking colony from elderflower wine
A76	SCR1	16.08.2006	none		unknown budding yeast	wild	none	Sonya Hartmuth	Crusty colony from elderflower wine, hyphae or pseudohyphae
A77	SCR2	16.08.2006	none		unknown budding yeast	wild	none	Sonya Hartmuth	Crusty colony from elderflower wine, hyphae or pseudohyphae
A78	+A2EC1.1	24.08.2006	AC06		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	diploid, in YPD, verified in 1 PCR
A79	+A2EC1.1-G418	24.08.2006	AC07		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	diploid, in YPD+300ug/ml G418, verified in 1 PCR
A80	+A2EC2.1	24.08.2006	AC08		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	diploid, in YPD, verified in 1 PCR
A81	+A2EC2.1-G418	24.08.2006	AC09		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	diploid, in YPD+300ug/ml G418, verified in 1 PCR
B01	+E2EC1.1	24.08.2006	AC10		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	KanMX right of CEN3	Douda Bensasson	diploid, in YPD, verified in 1 PCR
B02	+E2EC1.1-G418	24.08.2006	AD01		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	KanMX right of CEN3	Douda Bensasson	diploid, in YPD+300ug/ml G418, verified in 1 PCR
B03	+E2EC2.1	24.08.2006	AD02		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	KanMX right of CEN3	Douda Bensasson	diploid, in YPD, verified in 1 PCR
B04	+E2EC2.1-G418	24.08.2006	AD03		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	KanMX right of CEN3	Douda Bensasson	diploid, in YPD+300ug/ml G418, verified in 1 PCR
B05	+A2EC1.2	24.08.2006	AD04		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	diploid, in YPD, verified in 1 PCR
B06	+A2EC1.2-G418	24.08.2006	AD05		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3 + KanMX right of CEN3	Douda Bensasson	diploid, in YPD+300ug/ml G418, verified in 1 PCR
B07	+E2EC1.2	24.08.2006	AD06		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	KanMX right of CEN3	Douda Bensasson	diploid, in YPD, verified in 1 PCR
B08	+E2EC1.2-G418	24.08.2006	AD07		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	KanMX right of CEN3	Douda Bensasson	diploid, in YPD+300ug/ml G418, verified in 1 PCR
B09	negative-G418	24.08.2006	AD08		none	none	none	Douda Bensasson	YPD+300ug/ml G418
B10	myBY4743	24.08.2006	AD09		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	none	Douda Bensasson	BY4741x BY4742 in YPD, verified in 1 PCR
B11	negative	24.08.2006	none		none	none	none	Douda Bensasson	YPD
B12	UEA1c	23.09.2006	none		yeast-like + other	wild	none	Douda Bensasson	yeast-like + other species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. 
B13	UEA1c	23.09.2006	none		yeast-like + other	wild	none	Douda Bensasson	yeast-like + other species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. 
B14	UEA2a	23.09.2006	none		yeast-like + other	wild	none	Douda Bensasson	yeast-like + other species in Sniegowski enrichment medium. yeast-like + fluffy colonies on methyl-alpha-D-glucopyranoside. 
B15	UEA2a	23.09.2006	none		yeast-like + other	wild	none	Douda Bensasson	yeast-like + other species in Sniegowski enrichment medium. yeast-like + fluffy colonies on methyl-alpha-D-glucopyranoside. 
B16	UEA2b	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. 
B17	UEA2b	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. 
B18	UEA2c	23.09.2006	none		yeast-like + other	wild	none	Douda Bensasson	yeast-like + other species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. 
B19	UEA2c	23.09.2006	none		yeast-like + other	wild	none	Douda Bensasson	yeast-like + other species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. 
B20	UEA2d	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. 
B21	UEA2d	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. 
B22	UEAB2	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. Very slow-growing yeast-like colonies on methyl-alpha-D-glucopyranoside. 
B23	UEAB2	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. Very slow-growing yeast-like colonies on methyl-alpha-D-glucopyranoside. 
B24	UEA3	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. Variable growth yeast-like colonies on methyl-alpha-D-glucopyranoside. 
B25	UEA3	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. Variable growth yeast-like colonies on methyl-alpha-D-glucopyranoside. 
B26	negative	23.09.2006	none		none	none	none	Douda Bensasson	nothing in Sniegowski enrichment medium. Nothing on methyl-alpha-D-glucopyranoside.
B27	UEA3.1	23.09.2006	UEA3.1.1		S. paradoxus	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B28	UEA3.2	23.09.2006	UEA3.2.1		S. paradoxus	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B29	UEA3.3	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B30	UEA3.4	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B31	UEA3.5	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B32	UEA3.6	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B33	UEA3.7	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B34	UEA3.8	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B35	UEA3.9	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B36	UEA3.10	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B37	UEA3.11	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B38	UEA3.12	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B39	UEA3.13	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B40	UEA3.14	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B41	UEA3.15	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B42	UEA3.16	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B43	UEA3.17	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B44	UEA3.18	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B45	UEA3.19	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B46	UEA3.20	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. 
B47	UEA3.21	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B48	UEA3.22	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B49	UEA3.23	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B50	UEA3.24	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B51	UEA3.25	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B52	UEA3.26	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B53	UEA3.27	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B54	UEA3.28	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B55	UEAB2.1	23.09.2006	UEAB2.1.1		CEN PCRs not paradoxus or cerevisiae-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B56	UEAB2.2	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B57	UEAB2.3	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B58	UEAB2.4	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B59	UEA2c.1	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B60	UEA2c.2	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B61	UEA2c.3	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B62	UEA2c.4	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B63	UEA2c.5	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B64	UEA2c.6	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B65	UEA2c.7	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B66	UEA2c.8	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B67	UEA2c.9	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B68	UEA2c.10	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B69	UEA2d.1	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B70	UEA2d.3	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B71	UEA2d.4	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B72	UEA2d.5	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B73	UEA2d.6	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B74	UEA2d.7	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B75	UEA2d.8	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B76	UEA2d.9	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B77	UEA2d.10	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B78	UEA2d.11	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B79	UEA2d.12	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B80	UEA2d.13	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
B81	UEA2d.14	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
C01	UEA2d.15	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from YPD. 
C02	UEA3.SM	23.09.2006	UEA3.SM.A		S. paradoxus or S. cerevisiae?	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
C03	UEA3.YM	23.09.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from YPD. 
